board_ascii,legal_moves_uci,side_to_move
"r-bqr-k-
-----pbp
p----np-
-p-P----
P-N--p--
--NBB---
-P----PP
R--Q-R-K",c4d6 c4b6 c4e5 c4a5 c4a3 c4d2 e3a7 e3b6 e3c5 e3f4 e3d4 e3f2 e3d2 e3g1 e3c1 d3g6 d3f5 d3e4 d3e2 d3c2 d3b1 c3b5 c3e4 c3e2 c3a2 c3b1 h1g1 f1f4 f1f3 f1f2 f1g1 f1e1 d1h5 d1g4 d1f3 d1b3 d1e2 d1d2 d1c2 d1e1 d1c1 d1b1 a1a3 a1a2 a1c1 a1b1 a4b5 d5d6 a4a5 h2h3 g2g3 b2b3 h2h4 g2g4 b2b4,white
"rq--r---
pp---pk-
------p-
-P-Nbp--
---n----
-Q----P-
P----PBP
--RR--K-",d5e7 d5c7 d5f6 d5b6 d5f4 d5b4 d5e3 d5c3 b3c4 b3b4 b3a4 b3f3 b3e3 b3d3 b3c3 b3a3 b3c2 b3b2 b3b1 g2e4 g2h3 g2f3 g2h1 g2f1 g1h1 g1f1 d1d4 d1d3 d1d2 d1f1 d1e1 c1c8 c1c7 c1c6 c1c5 c1c4 c1c3 c1c2 c1b1 c1a1 b5b6 g3g4 h2h3 f2f3 a2a3 h2h4 f2f4 a2a4,white
"----r-k-
-b-q-p-p
p-----pB
-p------
-P-p----
P-Q----P
--P-B-P-
-----R-K",h6f8 h6g7 h6g5 h6f4 h6e3 h6d2 h6c1 c3c8 c3c7 c3c6 c3c5 c3d4 c3c4 c3g3 c3f3 c3e3 c3d3 c3b3 c3d2 c3b2 c3e1 c3a1 e2h5 e2b5 e2g4 e2c4 e2f3 e2d3 e2d1 h1h2 h1g1 f1f7 f1f6 f1f5 f1f4 f1f3 f1f2 f1g1 f1e1 f1d1 f1c1 f1b1 f1a1 h3h4 a3a4,white
"--kr-r--
pp--p---
--p--bpp
--P--b--
--------
-B-----P
P---RPPB
----R-K-",f8h8 f8g8 f8e8 f8f7 d8e8 d8d7 d8d6 d8d5 d8d4 d8d3 d8d2 d8d1 c8d7 f6h8 f6g7 f6g5 f6e5 f6h4 f6d4 f6c3 f6b2 f6a1 f5d7 f5e6 f5g4 f5e4 f5h3 f5d3 f5c2 f5b1 e7e6 b7b6 a7a6 h6h5 g6g5 e7e5 b7b5 a7a5,black
"r-----k-
pp-rppb-
-qp-P-p-
-------p
----BP-P
P-P--Q--
-P----P-
-K--R--R",g8h8 g8f8 g8h7 a8f8 a8e8 a8d8 a8c8 a8b8 g7h8 g7f8 g7h6 g7f6 g7e5 g7d4 g7c3 d7d8 d7c7 d7d6 d7d5 d7d4 d7d3 d7d2 d7d1 b6d8 b6c7 b6a6 b6c5 b6b5 b6a5 b6d4 b6b4 b6e3 b6b3 b6f2 b6b2 b6g1 f7e6 f7f6 a7a6 g6g5 c6c5 f7f5 a7a5,black
"--------
pQ---pkp
---P--p-
--------
q-----P-
-p---N-P
-----PK-
b-------",g7h8 g7g8 g7f8 g7h6 g7f6 a4e8 a4d7 a4c6 a4a6 a4b5 a4a5 a4g4 a4f4 a4e4 a4d4 a4c4 a4b4 a4a3 a4a2 a1f6 a1e5 a1d4 a1c3 a1b2 h7h6 a7a6 g6g5 b3b2 h7h5 a7a5,black
"----r-k-
p--p-p-p
-p---Qp-
---pn-P-
--------
------PK
Pr-----P
R----B--",f6h8 f6d8 f6g7 f6f7 f6e7 f6g6 f6e6 f6d6 f6c6 f6b6 f6f5 f6e5 f6f4 f6f3 f6f2 h3h4 f1a6 f1b5 f1c4 f1d3 f1g2 f1e2 a1e1 a1d1 a1c1 a1b1 g3g4 a2a3 a2a4,white
"-r------
-p----pp
-pp--k--
---p-P--
-P--n-P-
R------P
------K-
-----R--",a3a8 a3a7 a3a6 a3a5 a3a4 a3g3 a3f3 a3e3 a3d3 a3c3 a3b3 a3a2 a3a1 g2f3 g2h2 g2h1 g2g1 f1f4 f1f3 f1f2 f1h1 f1g1 f1e1 f1d1 f1c1 f1b1 f1a1 g4g5 b4b5 h3h4,white
"-k-----r
pppRrppp
-----b--
-N--p---
----P---
--------
PPP--PPP
---R--K-",h8g8 h8f8 h8e8 h8d8 h8c8 b8c8 b8a8 e7e8 e7d7 e7e6 f6g5 f6h4 h7h6 g7g6 c7c6 b7b6 a7a6 h7h5 g7g5 c7c5 a7a5,black
"--rq-rk-
-p--bppp
p-nppn--
----P---
---P--b-
P---BN--
-P-NBPPP
R--Q-RK-",g8h8 f8e8 d8e8 d8d7 d8c7 d8b6 d8a5 c8b8 c8a8 c8c7 f6e8 f6d7 f6h5 f6d5 f6e4 c6b8 c6a7 c6e5 c6a5 c6d4 c6b4 g4h5 g4f5 g4h3 g4f3 d6e5 h7h6 g7g6 b7b6 d6d5 a6a5 h7h5 g7g5 b7b5,black
"--rq-rk-
pp--bppp
--n--n--
--p--b--
----N---
P-NP--P-
-P---PBP
-RBQ-RK-",g8h8 f8e8 d8e8 d8d7 d8c7 d8d6 d8b6 d8d5 d8a5 d8d4 d8d3 c8b8 c8a8 c8c7 e7d6 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 c6b8 c6e5 c6a5 c6d4 c6b4 f5d7 f5g6 f5e6 f5g4 f5e4 f5h3 h7h6 g7g6 b7b6 a7a6 c5c4 h7h5 g7g5 b7b5 a7a5,black
"----r-k-
---b-p-p
p--P--p-
r--NN---
--------
-------P
B-R--PP-
--R---K-",g8h8 g8f8 g8g7 e8f8 e8d8 e8c8 e8b8 e8a8 e8e7 e8e6 e8e5 d7c8 d7e6 d7c6 d7f5 d7b5 d7g4 d7a4 d7h3 a5d5 a5c5 a5b5 a5a4 a5a3 a5a2 h7h6 f7f6 g6g5 h7h5 f7f5,black
